"Gene","Dlk1","Esr1","Nfib","Foxp2","Fezf1","Lepr"
"Lhfpl3",0,0.18,0,0.2,0.07,0.19
"Lcor",0,0,0,0,0.04,0
"Mamdc2",0.47,0.63,0,0,0,0
"Mlip",0,0,0,0,0,0.49
"A830082K12Rik",0,0.55,0,0,0,0.5
"Lemd1",0,0,0,0,0.07,0.72
"Whrn",0,0.12,0.5,0,0,0.15
"Spry4",0.03,0,0.62,0.37,0,0
"Rab24",0,0,0,0,0,0.16
"Rhoj",0.37,0.21,0,0,0,0
"Zfp697",0,0,0,0,0,0.07
"Klhl31",0,0,0,0,0.23,0.74
"Lncbate1",0.89,0.17,0,0,0,0
"Plod2",0,0,0.17,0.04,0.26,0
"Pet100",0,0,0,0,0,0.2
"Dpysl3",0,0,0.05,0,0,0
"Pstpip1",0,0,0.02,0,0,0.69
"Tecr",0,0,0.14,0,0,0
"5430403G16Rik",0,0,0.22,0.13,0,0.22
"Ackr3",0,0.28,0.04,0,0,0.43
"2510009E07Rik",0,0.16,0,0,0,0.07
"Hells",0,0.48,0,0.09,0,0
"Slc7a8",0,0,0,0,0.16,0.57
"Vwa5a",0,0,0,0.64,0,0
"Col12a1",0.05,0.97,0,0,0,0
"Ccdc82",0.08,0,0.15,0,0,0
"Cttnbp2",0,0.04,0,0,0,0.25
"Klhdc10",0.08,0.15,0,0,0,0
"Slc39a10",0,0,0,0,0.09,0.08
"Dennd4c",0,0,0,0.28,0,0
"Stox2",0,0,0,0.01,0,0
"Prlr",0.6,0.66,0,0,0,0
"Sox1",0,0,0.21,0.09,0.18,0.19
"B230307C23Rik",0,0,0,0.03,0,0.1
"Ptpn5",0,0.03,0.17,0.16,0,0
"Dip2b",0,0.03,0,0,0,0
"Cachd1",0,0,0.66,0,0.09,0.06
"Asic2",0.13,0,0.18,0.25,0.16,0.13
"A230006K03Rik",0,0.14,0,0,0,0.05
"Matk",0,0,0,0,0,0.01
"Acvr2a",0,0,0,0.31,0.08,0
"Edaradd",0,0,0,0.87,0.32,0
"Nxpe4",0,0,0,0,0,0.45
"Zfp385b",0,0.14,0,0.47,0.02,0
"Ccdc30",0,0,0,0,0,0
"Zfp57",0.4,0.17,0,0,0,0
"Lgr5",0,0,0.92,0,0,0
"Dmd",0.23,0.16,0,0.14,0,0.17
"Fuca1",0,0,0,0,0,0.36
"Usp33",0,0,0,0,0,0
"Ajap1",0,0.11,0,0.02,0,0.13
"Jam3",0,0,0,0,0,0.03
"Slc38a2",0.03,0,0,0,0,0.01
"Gas2",0,0,0,0,0.04,0
"Lncenc1",0.96,0,0,0,0.22,0
"Npy5r",0,0.49,0,0,0,0.5
"Unc5c",0,0.14,0,0,0.12,0.14
"Plch2",0,0,0,0,0.4,0.08
"A830092H15Rik",0,0.02,0,0,0,0.27
"Nr5a1",0,0,0.35,0.03,0,0.49
"Spink10",0,0,0,0.14,0,0.02
"Ppm1m",0.41,0.34,0,0,0,0
"Adam11",0.05,0.25,0,0,0,0
"Syne2",0,0.19,0,0,0,0.49
"Grip1os2",0,0.16,0,0,0,0.63
"Lhx5",0.7,0,0.1,0.11,0.26,0
"Epb41",0,0,0,0,0,0
"Pbk",0,0,0,0,0.09,0.7
"Slc30a6",0,0,0,0.22,0,0.04
"Bach2",0.39,0.05,0.02,0,0,0
"Fam20c",0,0,0,0,0,0.32
"Synpo",0,0,0,0,0,0.32
"Steap3",0,0,0.15,0.31,0,0.43
"Atp6v1c2",0,0,0,0.67,0,0.17
"Crocc",0,0,0,0,0,0.01
"Greb1l",0,0,0.29,0,0,0
"Efemp1",0,0,0,0,0.87,0.28
"4930562D21Rik",0,0.74,0,0,0,0.04
"Olfr1406",0,0,0,0.88,0,0
"St8sia2",0,0,0,0,0,0.72
"Zfp644",0,0,0,0,0,0
"Gpatch1",0,0,0,0,0,0
