"Gene","Dlk1","Esr1","Nfib","Foxp2","Fezf1","Lepr"
"H2-Q2",0.2,0.22,0,0,0,0.4
"Ubl3",0.44,0,0,0,0,0
"Prkacb",0,0,0.02,0.02,0.07,0
"Arhgap36",0.83,0,0,0,0,0.12
"Snca",0.23,0.05,0,0,0.25,0
"Slc17a8",0,0,0.99,0,0,0
"Suclg2",0.2,0,0,0,0,0.25
"Dhcr24",0,0,0,0,0,0.09
"Fam227a",0,0.05,0,0,0,0
"Sox5os2",0,0,0.05,0,0.22,0.71
"Evl",0.18,0,0,0,0,0
"Fam185a",0,0,0,0,0,0.41
"Col24a1",0.15,0,0,0,0.95,0
"Aldh1l2",0.45,0,0,0,0,0
"Nefl",0,0,0,0,0.15,0.05
"Rac3",0.18,0,0,0,0,0.06
"Pld1",0,0,0,0.65,0,0
"Dennd5b",0.13,0,0.04,0,0,0
"Rxrg",0,0.13,0,0.24,0,0.38
"Echdc2",0,0,0,0.98,0,0
"Actb",0,0,0.16,0,0.03,0
"Pcbp4",0.26,0,0,0,0,0
"Ivd",0,0,0.16,0,0,0
"Mcc",0,0.78,0,0,0,0
"Pygb",0.07,0,0,0,0,0.07
"Lmo3",0,0,0,0.28,0.62,0.23
"Coq10a",0,0.09,0.07,0,0,0
"Trpc6",0,0.46,0,0.55,0,0
"Atxn7l1",0,0.18,0,0.05,0,0
"Cdc42ep3",0,0,0,0.03,0,0.15
"Gpr1",0.42,0.22,0,0,0,0
"Pus7",0.03,0,0,0,0,0.04
"Mei4",0.44,0,0,0,0,0
"Clasp1",0.13,0.13,0,0,0,0
"AI593442",0.38,0.32,0,0,0,0
"Nt5c2",0.13,0,0,0,0,0
"Galntl6",0.22,0.45,0,0.15,0,0
"Rasal2",0.36,0.09,0,0,0,0
"Cdkl1",0.34,0.02,0,0,0,0
"Myo19",0,0.04,0.42,0,0,0
"Srgap1",0.6,0,0,0.18,0,0
"Cacna1i",0,0.14,0,0,0.15,0.06
"Pkia",0.04,0,0,0,0,0
"Rsph3a",0,0,0,0,0,0.45
"Zdhhc14",0,0,0,0.75,0,0
"Cdkl3",0,0,0,0.33,0,0
"Kcnt1",0,0,0.06,0.11,0,0
"Syt2",0,0.23,0,0,0.16,0.39
"Stxbp6",0.25,0.09,0,0,0,0.49
"Ak5",0,0.06,0,0,0,0
"Kcnt2",0.09,0.21,0,0,0,0
"Ssbp2",0.06,0.24,0,0.29,0,0
"4933407I08Rik",0.28,0.65,0,0,0,0
"Tsix",0.1,0.34,0,0,0,0
"Sdk2",0.6,0.05,0.24,0.04,0,0
"Runx2os1",0,0.58,0,0,0,0.34
"Tmem215",0,0.42,0,0.14,0,0.15
"Shroom3",0.77,0.07,0,0,0,0
"App",0.23,0,0.17,0,0.23,0.16
"Mthfd1l",0,0,0.12,0.09,0,0
"1500035N22Rik",0,0,0,0,0.15,0.35
"Ivl",0.85,0,0,0,0,0
"Myrip",0,0.02,0,0,0,0.2
"Ssbp3",0.17,0,0,0,0,0
"Pitpnm3",0,0,0,0,0,0.23
"Greb1",0,0.91,0,0,0,0
"Rftn1",0.43,0,0,0,0,0.03
"Shisa9",0,0,0,0,0,0.53
"Parp8",0.34,0,0,0,0,0
"Slc9a5",0,0.16,0.1,0,0,0
"Scmh1",0,0,0.05,0.2,0,0
"Sys1",0.35,0,0,0.18,0,0
"Lrmda",0.13,0.56,0,0,0,0
"Gpx7",0.02,0,0,0.37,0,0
"Sh3bp4",0.15,0,0.17,0.01,0.4,0
"Atp11c",0,0,0,0.21,0.02,0
"Mbnl2",0,0,0.01,0.27,0,0
"Zdhhc1",0,0,0,0,0,0.13
"Cacna1g",0.42,0.55,0,0,0,0
"Anxa6",0,0.34,0,0.01,0,0
"Ubxn11",0,0,0,0,0,0.11
"Col26a1",0,0.24,0.03,0,0,0.48
"Wfs1",0,0,0,0.06,0.13,0.05
"Luzp2",0.3,0.12,0.38,0,0.31,0
"Msra",0,0,0.54,0,0,0
"Glra2",0,0.58,0,0,0,0
"Dach1",0,0,0.95,0,0,0
"1700112D23Rik",0,0.39,0,0.09,0,0
"Col15a1",0,0.9,0,0,0,0
"Prkar2b",0,0,0,0,0,0.33
"Nos1ap",0,0,0.05,0,0,0
"A330084C13Rik",0,0.63,0,0,0.42,0
"Slc1a1",0,0,0,0,0,0.05
"Adgre5",0,0,0,0.76,0,0
"Ldb2",0,0,0.35,0.02,0,0.34
"Chst8",0,0,0,0.44,0.4,0.02
"Prkcg",0.39,0.49,0,0,0,0
"Cpne8",0,0.5,0,0,0.29,0
"Scube1",0.49,0.64,0,0,0,0
"Nkain3",0.47,0.59,0,0,0.28,0
"Ak4",0,0,0,0,0.1,0.33
"Arglu1",0.04,0.13,0,0,0,0
"Ahnak",0.7,0.26,0,0,0,0
"Pnma3",0.13,0.09,0,0,0,0
"Kcnq4",0.57,0,0,0.34,0,0.06
"Igsf8",0,0,0,0,0.06,0
"Dlk1",0.94,0,0,0,0,0
"Scube2",0.88,0,0,0.16,0,0
"Crispld1",0,0,0.26,0.62,0,0
"Itpkb",0,0,0,0.28,0,0.03
"Slc50a1",0.28,0,0,0,0,0
"Fermt1",0,0,0,0.18,0.02,0.35
"Arrdc1",0,0,0,0,0,0.23
"Ttc3",0.22,0.22,0.24,0.21,0.23,0.23
"Susd1",0,0,0.1,0.47,0,0.09
"Epsti1",0,0,0,0,0.62,0.52
"Dock9",0.08,0,0,0,0.04,0.01
"Etv1",0,0,0,0.95,0,0
"Pcsk2os1",0,0.22,0.08,0,0,0.02
"Map2k4",0.17,0.11,0,0,0.01,0
"Tcerg1l",0,0,0.15,0,0,0.22
"Dennd6b",0,0,0,0,0,0.15
"Usp25",0,0.09,0,0,0.42,0
"Enox2",0.26,0.09,0.12,0,0,0
"Flrt3",0,0,0,0,0,0.24
"Gsdme",0,0,0.19,0,0,0.11
"Amigo2",0,0,0,0,0,0.66
"Casz1",0,0,0,0,0.07,0.22
"Gabra2",0.27,0.2,0,0,0.17,0
"BC005561",0.13,0.09,0,0,0,0
"1700010I14Rik",0.25,0.01,0,0,0,0.05
"Ptpra",0,0,0.11,0,0,0
"Mkx",0.32,0,0.29,0,0,0.29
"Grk3",0,0.05,0,0,0,0.21
"Abhd14b",0.18,0,0,0,0,0.07
"Acsl1",0,0,0.02,0,0,0.07
"Nckap5",0.48,0,0,0,0.34,0
"Dgkb",0.1,0.04,0,0.19,0.05,0.18
"Tacc1",0,0,0,0,0,0.14
"Fam171b",0.14,0.07,0,0,0,0
"Dcaf6",0,0,0,0.01,0,0
"Lancl1",0,0,0,0,0,0.07
"Tle2",0,0.43,0,0,0,0
"Tyro3",0,0,0.5,0,0.15,0
"Scd2",0,0,0,0,0,0
"Klhl24",0,0,0,0,0.19,0
"Nrgn",0,0.55,0,0,0.26,0
"5530401A14Rik",0,0,0,0.5,0,0
"P4ha3",0.02,0.15,0,0,0,0.25
"Glt8d2",0.57,0,0.06,0.49,0,0
"Tcf4",0,0,0.93,0,0,0
"Fcho1",0,0,0,0,0,0.17
"Arhgef28",0,0,0.1,0,0,0.08
"Astn1",0.18,0.04,0,0.12,0,0
"Gpc3",0,0.87,0,0,0,0.34
"Dgkh",0,0,0,0,0,0
"Shroom4",0,0.49,0,0,0,0
"1110015O18Rik",0,0.17,0,0,0,0.71
"Stxbp5l",0.19,0.18,0,0.11,0,0
"Trim2",0.16,0,0,0,0,0
"Tanc2",0.19,0.21,0,0,0.14,0.15
"Mdga2",0,0.2,0.16,0.23,0.04,0.22
"Trim17",0,0,0,0,0.06,0.27
"Klhl14",0,0.78,0.3,0,0,0
"Susd4",0,0,0,0,0.09,0.12
"Lingo1",0,0,0,0,0,0
"Slc22a23",0,0,0,0,0,0.2
"Atp9a",0,0,0,0,0,0
"Pkp4",0,0.27,0,0.16,0,0.05
"Dalrd3",0,0,0,0,0,0.04
"Spag5",0,0.12,0,0,0,0
"Tmem44",0.34,0.56,0,0,0,0
"Ccdc112",0,0,0,0,0,0
"Rspo1",0.63,0.17,0,0,0.05,0.16
"Col6a3",0,0.17,0.47,0,0,0
"Serpina12",0,0.75,0,0,0,0.04
"C1galt1",0.04,0,0.13,0,0,0
"Psap",0,0,0.19,0,0.1,0
"Glipr1",0,0.24,0,0,0,0.68
"Dchs2",0,0,0,0.61,0,0
"Asxl3",0.49,0,0,0.6,0,0
"Cngb1",0.01,0,0,0.03,0,0.49
"Thsd7a",0,0,0.19,0.4,0,0
"Setx",0,0,0,0.13,0,0
"Myrfl",0,0.58,0,0,0,0
"Nup35",0.09,0.38,0,0,0,0
"5031425E22Rik",0.12,0,0,0,0,0
"Clstn2",0,0,0.55,0.52,0,0
"Stk26",0,0.34,0,0,0.42,0
"Cpne9",0.74,0.33,0,0,0,0
"Rem2",0.44,0,0,0.32,0.02,0
"Gtf2i",0,0,0,0,0,0
"Npm2",0,0,0,0,0.13,0.65
"Fus",0,0.08,0,0,0,0.14
"Grin1",0,0.04,0,0,0,0.1
"Fat4",0,0.59,0.3,0,0,0
"Kdr",0.13,0.22,0.31,0.25,0.17,0
"Phactr3",0.12,0.05,0,0,0.08,0
"Car11",0,0,0,0,0,0.28
"Coch",0,0.73,0,0,0,0
"Vwa5b2",0.26,0,0,0,0.02,0
"Kif23",0,0,0,0.6,0,0
"Pgr",0,0.57,0,0.04,0,0
"Fam126a",0,0,0,0,0.45,0.34
"Wdr83",0,0,0,0,0,0.21
"Kcnab1",0,0,0,0,0,0.35
"Pcgf5",0,0.22,0,0,0,0
"Tial1",0.1,0,0,0.1,0,0
"Srrm4",0.14,0.36,0,0,0,0
"Camk1d",0,0.32,0,0,0,0
"Dnah7b",0,0,0.15,0,0.19,0.42
"9330182L06Rik",0.14,0,0,0.27,0,0.05
"Pcdh15",0,0,0,0.02,0.18,0.2
"Slc35b3",0,0,0,0,0,0.31
"Map2k6",0,0,0.38,0.1,0,0
"Stk39",0,0,0,0,0,0.14
"Klhl5",0,0,0,0.41,0.3,0.05
"Arhgef40",0.34,0,0,0,0,0
"Ipo11",0,0,0,0,0,0.08
"Ankrd34b",0,0,0,0,0.1,0.63
"Kank4",0,0,0.91,0,0,0
"Dip2c",0.21,0.16,0,0,0,0.08
"Pkp2",0,0,0,0.1,0.06,0.2
"Gsg1l",0,0,0.66,0,0,0
"Timmdc1",0.09,0,0,0,0,0
"Myt1l",0,0.14,0,0.2,0,0.14
"Necab1",0,0.93,0,0,0,0
"Stn1",0,0.57,0,0,0,0
"Ralgapa2",0,0,0,0,0,0.01
"Cep85l",0,0,0,0.53,0,0
"Hlf",0,0,0.38,0.02,0.23,0
"Uchl1os",0,0.06,0,0,0,0.34
"C1ql2",0,0,0.25,0,0.75,0.26
"Ppm1l",0,0,0.58,0,0,0
"Ptprr",0,0,0,0.23,0,0.06
"Sorbs1",0,0,0,0,0,0.03
"Smoc1",0.01,0,0.73,0,0,0
"Cacna2d1",0,0,0.32,0.24,0.23,0.22
"Kbtbd11",0,0,0,0.19,0,0
"Socs1",0,0,0.48,0,0.15,0.06
"Arhgap22",0,0,0,0.09,0,0.66
"Tmem178b",0,0.14,0,0,0,0.13
"P3h4",0,0,0.41,0,0,0
"Birc2",0,0,0,0,0,0
"Igf1",0.45,0,0,0.57,0.4,0
"Galr1",0,0,0.07,0.68,0,0.28
"Tenm4",0,0,0,0,0.2,0.27
"Prdx6",0,0,0,0,0,0.14
"Shc3",0,0,0,0,0.49,0
"4930555F03Rik",0,0,0.45,0,0.25,0.03
"Rcn2",0,0,0.18,0,0,0
"Catsperg1",0.31,0.18,0,0,0,0
"Aldh1a2",0,0,0,0.88,0,0
"Pla2g4f",0,0.89,0,0,0,0
"Maml2",0.42,0.25,0,0.35,0,0
"Shtn1",0.03,0,0.31,0,0,0
"Nptx1",0,0,0,0,0.16,0.09
"Chst9",0,0.82,0,0,0,0
"Srgap2",0.08,0.03,0,0,0,0
"Ankrd55",0,0,0,0.31,0.13,0
"Icam5",0,0.03,0,0,0.07,0.07
"Celf5",0,0,0,0,0,0
"Mok",0,0,0,0,0,0.05
"Apcdd1",0,0,0,0.46,0.48,0
"Alcam",0.49,0.48,0,0.27,0.41,0
"Snap91",0.09,0,0,0.08,0,0
"Sh3pxd2a",0,0.23,0.02,0.19,0,0
"Grm8",0.2,0.53,0,0,0.23,0
"Rerg",0,0,0.07,0,0,0.17
"Epb41l2",0.53,0.18,0,0,0,0
"Nos1",0,0.89,0,0,0,0
"1700024B18Rik",0.39,0.15,0,0,0,0
"Atp2b1",0,0.14,0,0.06,0,0
"Cyp7b1",0,0,0,0.68,0,0
"Bcl2",0,0,0.58,0,0.05,0
"Isyna1",0,0.01,0,0,0,0.45
"Inpp4b",0,0,0,0.41,0,0.27
"Htr1f",0,0,0,0.26,0,0
"Mmd2",0,0,0.22,0.02,0,0
"Palmd",0,0,0,0.34,0.1,0.27
"Vat1l",0,0.07,0,0.39,0,0
"Kcnq3",0,0,0.13,0.41,0.18,0
"Itpr1",0,0,0,0.38,0,0.51
"Ptp4a1",0,0.29,0,0,0,0
"Mllt3",0.09,0.28,0,0,0,0
"St8sia3",0.08,0,0.02,0,0,0
"Rph3a",0,0,0.27,0,0.13,0.3
"Plxdc1",0.23,0,0,0,0,0.02
"Pcbp3",0,0,0.2,0,0,0
"Emc10",0,0,0.05,0,0,0
"Tjp1",0.03,0.13,0,0,0,0.04
"Rtl4",0,0.5,0,0,0.48,0
"Gphn",0.16,0.23,0.17,0.09,0.2,0.2
"Dock7",0,0,0.13,0,0,0
"Lrrc49",0.28,0.04,0,0,0,0
"Ptchd4",0,0,0.26,0,0,0
"Cntrl",0,0,0,0,0,0.25
"Alkal2",0,0,0,0.56,0,0
"3110021N24Rik",0.14,0,0.34,0,0,0
"Gpx3",0,0,0,0,0,0.25
"5330417C22Rik",0.01,0,0,0.28,0,0
"4930599N23Rik",0,0,0.09,0.2,0,0
"Trpc4",0,0.51,0,0.05,0,0
"Runx1t1",0.55,0.6,0,0,0,0
"Fam219a",0.12,0,0,0,0,0
"Aldoa",0,0,0.01,0,0,0
"Prag1",0,0,0.06,0.04,0,0.67
"Crtc3",0,0,0.02,0,0,0.04
"Slc13a1",0.37,0,0.33,0,0.37,0
"Rbfox1",0,0,0,0.24,0.23,0.24
"Cmbl",0,0,0.02,0,0,0.63
"Wwtr1",0,0,0.33,0.64,0,0
"Snx7",0,0,0,0.77,0,0
"Irf1",0,0,0.03,0,0,0.58
"Nsg1",0,0,0.13,0,0,0
"Chrdl2",0.73,0.42,0,0,0,0
"Grin2d",0.12,0,0,0,0,0
"Ammecr1",0.01,0,0.33,0,0,0
"Ppil6",0,0,0,0,0,0.16
"Tdrd5",0,0,0,0.32,0,0.33
"Chd9",0.16,0,0.13,0,0,0.04
"Kcng3",0,0.51,0,0.33,0,0
"Klhl1",0,0.21,0,0,0,0
"Dcx",0.42,0,0,0,0,0
"Ube2cbp",0,0,0,0.01,0.39,0.1
"Retn",0,0,0,0.26,0,0.67
"Arl8a",0,0,0,0,0,0.06
"Stx8",0,0.03,0,0,0,0.12
"Drp2",0,0,0,0,0,0.24
"Lama3",0,0,0,0.34,0,0
"Gna12",0,0,0,0.02,0,0.2
"Lancl3",0.05,0,0,0.34,0.16,0.08
"Layn",0,0.7,0,0,0,0
"Katnal2",0.31,0.09,0,0,0,0
"Mcu",0,0,0,0,0.17,0
"Plcb4",0,0,0.3,0.49,0,0.23
"Gabra5",0,0,0,0.17,0,0.29
"Rnd1",0.07,0.29,0.03,0,0,0
"Snhg11",0.25,0.25,0.25,0.25,0.25,0.25
"Cd200",0,0,0.03,0,0,0
"Scml4",0.55,0.38,0,0,0,0
"Ppp2r2a",0,0,0,0.08,0,0
"Emb",0.02,0.22,0,0,0,0
"Pcdh9",0,0,0.26,0.18,0,0.11
"Etnk2",0,0,0,0,0,0.58
"Strip2",0,0,0,0.26,0.23,0.3
"Clvs1",0.01,0,0,0.06,0,0
"Nrbp2",0.33,0.01,0,0.01,0,0
"Grm5",0.18,0,0,0.24,0.24,0.23
"Skida1",0,0,0,0,0,0.24
"Ildr1",0,0.8,0,0,0.46,0
"Rims1",0.19,0.17,0.19,0.16,0.19,0.13
"Adra1a",0.57,0,0,0,0.59,0
"H2-D1",0.21,0,0.02,0,0,0
"Cntnap4",0.55,0,0,0,0.62,0
"Thbs3",0.17,0,0,0.03,0,0
"Stk19",0,0,0,0,0,0.04
"Hmgcs1",0,0,0,0,0,0.03
"Lrp3",0,0,0,0,0,0.29
"D10Wsu102e",0,0,0,0,0,0.01
"Trpc5",0,0.64,0,0,0.48,0
"Osbpl9",0,0,0.05,0.13,0.1,0.06
"2810471M01Rik",0.94,0,0,0,0,0
"Gnai1",0,0.19,0,0,0,0
"Stag2",0,0,0.1,0,0,0
"Pcmtd1",0,0,0,0.18,0,0
"Apc",0,0,0,0.17,0,0.05
"Prkaa2",0.11,0.08,0,0,0,0
"Hydin",0,0,0,0.16,0,0.66
"Fxyd6",0,0,0.45,0,0,0
"Shh",0,0,0.03,0.08,0,0.26
"Ppfibp2",0,0,0,0,0.6,0
"Kcnv1",0,0,0,0,0,0.67
"Map4k4",0,0.01,0,0,0,0
"Cyp20a1",0,0,0,0,0,0.31
"Klf7",0,0,0,0.05,0,0
"Ptp4a2",0,0,0,0.08,0,0.16
"Zfp366",0.4,0.2,0,0,0.56,0
"Ip6k1",0,0,0.01,0.01,0,0
"Slc43a2",0,0,0,0,0,0
"Slitrk3",0,0,0,0,0.04,0.24
"Gabre",0.74,0,0,0,0.25,0
"Rgs9",0.46,0.05,0,0.2,0,0
"Ddx10",0,0,0,0.07,0,0
"Kcnh1",0,0.09,0,0.28,0,0
"Atp7b",0.79,0,0,0.13,0.09,0
"D030068K23Rik",0,0,0.15,0.07,0,0.39
"Ttc39c",0,0,0,0.45,0.04,0.03
"E430024P14Rik",0,0,0,0,0,0.46
"Ifi27l2a",0,0,0.45,0.42,0,0
"Slitrk5",0,0.26,0,0,0,0.16
"Dpp10",0,0.15,0.15,0.14,0.13,0
"Eya1",0,0,0.73,0.48,0,0
"Amelx",0.64,0,0,0,0,0.56
"Ccdc85a",0,0,0,0.32,0.13,0
"Pbx1",0,0,0,0.28,0,0.06
"Arhgap24",0,0.41,0,0,0,0
"Hdac4",0,0.09,0,0,0,0
"Tex47",0,0,0.78,0.36,0,0
"Stk40",0,0,0,0.02,0.1,0.14
"Rhbdl3",0,0,0,0.18,0.02,0
"Abat",0,0,0,0,0,0.08
"Pag1",0,0,0,0,0,0.21
"Lrrn1",0,0,0,0,0.49,0.3
"Chrna4",0,0,0.07,0,0,0.69
"Map1b",0.12,0,0,0.13,0.15,0.19
"Parva",0,0,0.43,0,0.41,0
"Necab3",0.07,0,0.02,0,0,0.14
"Plcz1",0,0,0,0,0,0.71
"Chrm2",0,0,0.73,0,0,0.26
"Dennd3",0,0.27,0,0,0,0
"Cars2",0,0.23,0,0,0,0
"Fam98a",0,0,0,0,0,0.19
"Erich3",0.26,0,0,0,0.01,0
"Ush1c",0.11,0.85,0,0,0.08,0
"Ttll3",0.19,0,0,0,0,0.27
"Itfg1",0,0,0.08,0,0,0
"Gpr83",0,0.71,0,0.07,0,0
"Plcxd2",0,0,0.1,0.02,0,0.32
"Epha4",0.21,0,0,0.34,0,0
"Ttc37",0,0,0,0,0,0.07
"Paqr8",0.04,0,0,0.51,0,0
"Nrp1",0.63,0,0.55,0.4,0,0
"Ar",0.33,0.4,0,0,0.2,0
"Nrxn3",0.18,0,0.07,0.16,0,0
"Nfib",0,0,0.99,0,0,0
"Hunk",0.89,0.07,0.32,0,0,0
"Rnf43",0,0,0,0,0,0.67
"Aff3",0.01,0,0,0,0.12,0
"Cc2d2a",0,0,0.13,0,0,0.17
"Slc4a7",0,0,0.25,0,0,0
"Dpp6",0,0,0.21,0,0.21,0.16
"Phf20l1",0,0,0,0.13,0,0
"Egfl6",0.96,0.14,0,0,0,0
"Nova1",0.2,0,0,0,0.16,0
"Xk",0,0,0,0,0.01,0.34
"Timm9",0,0,0,0,0,0.03
"Nrp2",0,0.54,0.52,0,0,0
"Nsd1",0.18,0,0.01,0.05,0,0
"Atp1b3",0,0,0.16,0,0,0
"Plcl1",0.52,0,0,0.19,0.26,0
"Stx3",0.26,0,0,0.04,0,0
"Abcg1",0,0,0.05,0,0.08,0.08
"Pcdh17",0.47,0.63,0,0,0,0
"Gnas",0.23,0.14,0.22,0.17,0.18,0.16
"Sema3e",0,0.75,0,0,0,0
"A730049H05Rik",0,0.04,0,0,0,0.75
"AY036118",0,0,0.08,0.04,0.05,0
"Nebl",0.16,0.21,0,0,0.2,0.09
"Lrrc43",0,0.17,0,0,0.12,0.15
"Uck2",0,0,0,0.51,0,0.14
"Arntl2",0,0.1,0,0,0,0.29
"Patj",0,0,0.55,0.06,0,0
"9130015G15Rik",0,0.31,0,0,0,0.43
"Dpyd",0,0.07,0,0,0,0.59
"Casr",0,0.74,0,0,0,0
"Sil1",0,0,0,0,0,0.09
"Abca3",0.02,0,0,0,0,0
"Doc2b",0,0,0.11,0,0,0.38
"Tnxb",0,0,0,0.32,0,0.29
"Spint1",0,0.11,0,0.28,0,0.35
"C230004F18Rik",0.1,0.1,0,0.07,0,0
"Tmem47",0,0,0,0,0,0
"Grk5",0.05,0,0,0.36,0,0
"Adcy3",0,0,0.02,0,0,0
"A430090L17Rik",0.31,0,0,0,0,0
"Tbc1d12",0,0.28,0,0,0,0
"Ago3",0.07,0.13,0,0,0,0
"Tmem131",0.14,0,0,0,0,0
"B4galnt2",0.5,0,0,0,0,0
"Thoc2",0,0,0.17,0,0,0
"Adgrl2",0,0.04,0,0,0,0.13
"Sh2d1a",0,0.5,0,0.3,0,0
"Nsdhl",0.25,0,0,0,0,0.11
"Usp29",0.04,0.22,0,0.08,0.18,0.21
"Tmem28",0,0.3,0.03,0,0,0
"Adgrl4",0.8,0.3,0,0,0,0
"Adgb",0,0,0,0,0,0.67
"Gpr158",0.18,0,0.15,0.15,0.17,0
"Psd3",0,0,0,0,0,0.18
"Snrnp48",0,0,0,0,0,0.1
"Adgrg4",0,0,0,0,0.94,0
"C530008M17Rik",0.13,0,0,0.2,0,0
"Ndn",0,0,0.29,0,0.1,0
"Adgrv1",0.09,0,0,0,0,0.6
"Gas2l3",0,0,0.8,0,0,0
"A230050P20Rik",0,0,0,0,0,0.02
"Sept11",0,0,0,0,0,0.47
"Tpst1",0,0,0.14,0,0,0
"Cyth1",0,0,0,0.2,0,0
"Arl5b",0.36,0.02,0,0.15,0,0
"Slc44a5",0.14,0.49,0,0,0,0
"D630023F18Rik",0,0,0,0,0.16,0.43
"Pds5b",0,0,0,0.24,0,0
"Sytl4",0,0,0.19,0,0.18,0.43
"Cdh24",0.38,0.05,0.05,0,0.3,0
"Cdkl5",0,0.06,0.56,0.04,0,0
"Frmd5",0,0.22,0,0,0,0
"Elovl2",0,0.53,0,0,0,0
"Lix1",0.09,0.11,0,0.64,0.11,0
"Mapk3",0,0,0,0,0,0.39
"Filip1",0,0,0,0.44,0,0.39
"Setd7",0,0,0,0,0,0.11
"Snrpn",0,0,0,0,0.07,0
"Tspoap1",0,0,0,0,0,0.01
"Cntnap3",0,0,0,0.97,0,0
"Sh3d21",0,0,0,0.67,0.12,0
"Senp8",0.14,0,0,0,0,0
"Thrsp",0,0,0.59,0,0,0
"Atp1b1",0,0,0.21,0,0.18,0.11
"Best3",0,0.73,0,0,0,0
"Med13",0.05,0,0,0,0,0
"Abtb2",0,0.77,0,0,0,0
"1700016K05Rik",0,0,0,0.28,0.03,0
"Cd1d1",0.43,0.4,0,0,0,0
"Gstt2",0.08,0.07,0.55,0,0.04,0
"Tox3",0,0,0.25,0,0,0
"Evc2",0,0,0,0.32,0,0.35
"Dnah9",0,0.02,0,0,0,0.46
"Rab33a",0,0,0.33,0.07,0,0
"Cadps2",0.06,0,0.38,0,0.52,0
"Faah",0,0,0,0,0,0.3
"Lrrc4c",0,0.19,0.22,0.29,0,0.13
"Adam23",0.24,0,0,0,0.25,0
"Tm7sf3",0,0,0.07,0,0,0.07
"Kcnq5",0,0.58,0,0.48,0.32,0
"Ascc2",0.03,0,0,0.03,0,0
"Mitf",0,0,0,0.01,0.12,0.33
"Cdkl2",0.05,0,0,0,0,0
"Mgat5b",0,0,0.65,0,0,0
"Cipc",0,0,0,0.05,0,0.05
"Sdc2",0,0.31,0,0,0.11,0
"Tspan5",0,0,0.01,0,0,0.09
"Nsg2",0,0,0,0.15,0,0
"Hoga1",0.4,0.39,0,0,0,0
"Slitrk6",0.47,0.09,0,0.42,0,0
"2210420H20Rik",0.33,0.3,0,0,0,0.01
"Cacnb2",0,0,0.16,0.11,0,0.06
"Cdc20b",0.59,0,0,0,0.19,0
"Atxn1",0,0.18,0,0,0.14,0.04
"Elmo1",0,0,0,0.64,0,0
"Adamts16",0.34,0.23,0,0,0,0.23
"Hes6",0,0,0,0,0,0.64
"Dner",0,0.12,0,0,0.15,0
"Nt5c",0,0,0,0,0,0.02
"Fam110b",0,0,0,0,0,0
"Oprk1",0.13,0,0,0,0,0.61
"Tcea2",0.16,0,0,0,0,0.11
"Rab27a",0,0,0,0,0,0.2
"Pi4k2b",0,0.47,0,0.27,0,0.23
"Faim2",0,0,0.02,0,0.11,0
"Samd12",0,0,0.13,0,0,0
"Ildr2",0.07,0,0,0,0,0
"St6gal1",0,0,0.63,0.57,0,0
"Mtmr1",0.05,0.02,0.04,0,0,0
"Synpo2",0,0.33,0.26,0,0,0
"Cdc25b",0.31,0,0.47,0,0,0
"Farp1",0.07,0,0,0,0.24,0
"Nkd2",0,0,0,0.86,0,0.29
"Ankrd17",0.15,0.05,0,0,0,0
"N4bp2",0,0,0,0.37,0.1,0
"Rhobtb3",0,0,0.08,0.02,0,0.09
"Slf2",0,0,0,0.01,0,0
"Bicdl1",0.06,0,0,0,0,0
"Msmo1",0,0,0,0,0,0.1
"Pcp4",0,0,0.26,0,0,0
"Atp10a",0,0,0,0.35,0,0.44
"Tbx3os1",0,0,0,0.94,0,0
"Nalcn",0.18,0.15,0,0,0.14,0
"Dpysl2",0,0,0,0,0,0
"Adcy5",0,0,0,0,0,0.05
"Ryr1",0.33,0.62,0,0,0,0
"Mfsd13b",0,0,0,0,0,0.74
"Kif9",0,0.06,0,0,0,0.28
"Pcsk2os2",0,0.3,0,0,0,0.03
"Thrb",0,0.28,0,0,0.05,0
"Prox1",0,0,0.16,0.21,0,0.61
"Rgs22",0.23,0,0,0,0,0.35
"Plcb1",0,0,0,0.57,0.01,0.1
"Sox2",0.11,0,0.06,0.5,0.24,0
"Diras2",0,0,0,0,0,0.51
"Rnf144a",0,0,0.27,0,0,0
"Zfp711",0.44,0.17,0,0,0,0
"Catsper2",0,0.16,0,0,0,0.1
"Dusp16",0.08,0,0.31,0,0,0
"Pde9a",0.07,0.32,0,0.01,0,0
"Tmc4",0.02,0.04,0,0,0,0.05
"Kndc1",0,0,0,0,0,0.15
"Zfpm2",0,0,0,0.14,0.47,0.01
"Lrfn5",0.16,0,0,0.23,0.16,0.1
"Wscd1",0,0,0.31,0,0,0
"Samd5",0.32,0.49,0,0.29,0,0
"Kcnh7",0,0,0,0.17,0.31,0.36
"Arhgap27os2",0,0,0,0.38,0,0.3
"Smoc2",0,0.91,0,0,0,0
"Ssx2ip",0,0,0.01,0,0,0.26
"Ypel4",0,0,0,0,0,0.09
"Kif5c",0,0,0.04,0,0,0
"Cdh10",0.17,0,0.41,0.36,0,0
"Ppp2r2b",0.22,0.21,0,0,0.06,0.14
"Tspan6",0,0,0.28,0,0,0
"Tox",0.45,0,0,0.36,0,0.02
"Ttll6",0,0,0.01,0,0,0.72
"Hipk4",0,0,0,0,0,0.58
"Pzp",0.55,0,0,0,0,0
"Orc6",0.16,0.03,0,0,0,0
