"Gene","Bead","Sup","Enrichment","P"
"Cadps2",304.32,122.09,1.32," 6.2e-41"
"2010204K13Rik",71.39,28.67,1.32," 5.3e-25"
"Nmbr",4.14,1.65,1.32," 5.8e-04"
"She",2.95,1.19,1.32," 3.4e-03"
"1700001L19Rik",28.25,11.39,1.31," 4.2e-15"
"Wfs1",117.91,47.44,1.31," 1.8e-31"
"Plek2",1.55,0.62,1.31," 3.9e-02"
"Deptor",178.3,72.3,1.3," 3.5e-36"
"Bcor",69.34,28.08,1.3," 1.2e-19"
"Fam81a",168.22,68.46,1.3," 6.7e-34"
"Mroh7",26.12,10.5,1.3," 1.9e-14"
"Trpa1",1.58,0.65,1.29," 4.7e-02"
"Prr7",18.4,7.61,1.29," 8.4e-08"
"Tnfaip8l3",26.89,11.02,1.28," 6.4e-15"
"Tmem28",78.24,32.41,1.28," 2.5e-21"
"Vsig2",4.25,1.76,1.28," 7.5e-04"
"Fgfr1",153.53,63,1.28," 7.5e-29"
"Grasp",8.3,3.42,1.28," 3.0e-06"
"Galnt16",409.31,167.63,1.28," 8.7e-33"
"Synpo",102.51,42.54,1.27," 2.7e-23"
"Car10",215.7,89.12,1.27," 4.1e-34"
"Prss12",4.79,1.97,1.27," 3.5e-04"
"Ung",3.3,1.36,1.27," 5.1e-03"
"Impdh1",91.34,37.86,1.27," 5.7e-20"
"Crym",7.9,3.27,1.27," 5.1e-06"
"Slc8a2",153.07,62.96,1.27," 2.2e-27"
"Pcsk4",7.06,2.96,1.26," 3.4e-05"
"Fndc1",31.03,12.91,1.26," 7.0e-16"
"Kctd13",114.72,48.3,1.26," 2.9e-20"
"Rhov",40.31,16.95,1.26," 3.2e-14"
"Rnf208",228.75,95.92,1.26," 9.1e-22"
"Tceal3",142.09,59.91,1.26," 2.2e-27"
"Mapk3",298,125.29,1.25," 3.4e-25"
"Gpr165",279.17,116.92,1.25," 1.2e-25"
"Fndc9",48.97,20.41,1.25," 1.2e-16"
"Bdnf",32.31,13.56,1.25," 9.2e-16"
"Hnf1b",5.87,2.47,1.25," 7.3e-05"
"1700007K13Rik",3.7,1.57,1.24," 2.1e-03"
"Itm2c",781.38,329.74,1.24," 8.2e-32"
"Pid1",122.82,52.15,1.24," 8.6e-28"
"Dpysl4",62.25,26.75,1.24," 9.0e-19"
"Dph2",21.53,9.23,1.23," 2.4e-10"
"Pdlim7",33.67,14.51,1.23," 4.2e-13"
