"gene","Sample_111475","Sample_111476","Sample_116059","Sample_116060"
"H2afx",43.6457197339794,27.0566170093049,20.3730237982823,12.0525729541428
"Gm44335",0,0,0,0
"Hmbs",13.4535854909391,12.0423174135565,14.9171970861999,10.4436129724004
"Vps11",113.275867960747,119.342453342041,105.974254299878,108.122110773087
"Gm22141",0,0,0,0
"Gm10080",0.0553645493454284,0.0385971711972965,0.103591646431944,0.0585076356997222
"9430081H08Rik",0.221458197381714,0.347374540775669,0.310774939295831,0.5265687212975
"Hyou1",182.204731895805,132.137415593945,155.663714038401,121.403344076924
"Gm26306",0,0,0,0.0585076356997222
"Slc37a4",11.3128229162492,9.30191825854847,10.1865118991411,7.28420064461542
"Mir7085",0,0,0,0
"Trappc4",66.7881013603685,39.8515792612087,67.9561200593551,42.2132591573496
"Rps25",36.706696216019,17.4845185523753,27.555377950897,15.2704929176275
"Ccdc84",2.15921742447171,2.08424724465401,1.79558853815369,1.84299052454125
"Gm47186",0,0.0192985855986483,0,0.0292538178498611
"Foxr1",0,0,0,0.0292538178498611
"Upk2",0.0738193991272379,0.0771943423945931,0.103591646431944,0.0585076356997222
"Gm9830",0,0,0,0
"C030014I23Rik",0.719739141490569,1.04212362232701,0.82873317145555,0.848360717645973
"Gm22540",0.239913047163523,0.289478783979724,0.310774939295831,0.26328436064875
"Gm47204",0,0,0,0
"Gm47205",0.35064214585438,0.636853324755393,0.138122195242592,0.292538178498611
"Bcl9l",73.5241215307289,78.0820773321309,51.3469260814335,50.6968663338093
"Cxcr5",0,0.0192985855986483,0,0.0292538178498611
"Gm47230",0,0.0385971711972965,0,0
"Gm47231",0,0,0.0345305488106479,0.0292538178498611
"Gm47232",0.313732446290761,0.810540595143228,0.207183292863888,0.994629806895278
"Ddx6",338.720312895331,338.78667018427,448.620890147938,520.893480634627
"Gm30671",0,0.0578957567959448,0.0345305488106479,0.0877614535495834
"E030022I16Rik",0.369096995636189,1.33160240630673,0.103591646431944,0.819106899796112
"Gm47234",0.0184548497818095,0.0578957567959448,0,0.0585076356997222
"Gm47238",0,0,0,0
"Gm3953",0.0369096995636189,0,0,0
"BC049987",0,0.0192985855986483,0,0
"Treh",0,0.0385971711972965,0.0690610976212958,0
"Phldb1",49.2929037672131,152.497423400519,31.6990438081748,108.034349319537
"Gm47239",0.110729098690857,0.0578957567959448,0,0.0877614535495834
"Gm24166",0.0553645493454284,0.0385971711972965,0.0345305488106479,0.175522907099167
"Arcn1",116.468556973,114.266925329596,157.148527637259,161.949135616831
"Gm48562",0,0.0964929279932414,0,0.117015271399444
"Ift46",80.6292386967256,63.1642706643758,70.4423195737217,54.9094161041893
"Tmem25",33.809284800275,21.3249370865063,30.110638562885,16.9379605350696
"Gm48702",0.0369096995636189,0.0578957567959448,0.0690610976212958,0.0585076356997222
