"Gene","Bead","Sup","Enrichment","P"
"Gse1",57.63,31.41,0.85," 9.3e-14"
"Adgra1",81.98,45.42,0.85," 1.9e-17"
"Tmem158",66.04,36.65,0.85," 5.7e-16"
"Klhdc8b",147.73,81.95,0.85," 1.7e-22"
"Ankrd34a",146.74,81.35,0.85," 1.7e-21"
"Gcnt2",5.69,3.18,0.85," 4.3e-03"
"Prss36",11.13,6.16,0.85," 5.7e-05"
"Gm13889",55.62,30.85,0.85," 1.8e-14"
"Ppp1r11",244.66,136.06,0.85," 1.8e-25"
"Phf1",106.03,58.93,0.85," 9.1e-20"
"Slc2a5",2.87,1.61,0.85," 4.9e-02"
"Gstm4",46.4,25.92,0.85," 4.3e-11"
"Pam",314.23,174.92,0.85," 4.5e-27"
"Psmd3",295.72,164.71,0.84," 6.2e-26"
"Nelfcd",120.09,66.99,0.84," 1.1e-19"
"Crhr2",7.01,3.84,0.84," 1.9e-03"
"Lnx2",7.61,4.2,0.84," 1.3e-03"
"2900079G21Rik",5.07,2.79,0.84," 8.1e-03"
"Gm15459",24.29,13.95,0.84," 8.5e-08"
"Habp4",784.31,439.36,0.84," 1.2e-25"
"Pcdhga7",3.89,2.18,0.84," 2.0e-02"
"Capns1",594.07,331.48,0.84," 2.1e-29"
"4930483P17Rik",9.39,5.23,0.84," 4.2e-04"
"Hcrtr1",7.66,4.28,0.84," 9.5e-04"
"Diaph3",13.24,7.46,0.84," 2.6e-05"
"Txnrd1",228.62,127.85,0.84," 9.6e-21"
"Celf3",263.45,147.5,0.84," 1.4e-25"
"Cnksr2",66.52,36.45,0.84," 2.0e-13"
"Syt5",186.55,104.79,0.84," 5.8e-21"
"Cyth2",103.97,58.42,0.83," 1.1e-18"
"Cthrc1",5.4,3.05,0.83," 6.1e-03"
"Rbp1",7.54,4.31,0.83," 3.5e-03"
"Jpt1",169.7,95.35,0.83," 1.4e-22"
"Tlnrd1",89.01,50.03,0.83," 1.0e-17"
"Nop10",110.14,61.88,0.83," 4.0e-19"
"BC029722",198.38,111.92,0.83," 2.9e-21"
"Rnf208",314.9,177.69,0.83," 4.7e-25"
"Nbdy",139,78.71,0.83," 2.8e-18"
"Surf2",73.37,41.35,0.83," 5.2e-16"
"Pcdhga6",4.29,2.45,0.82," 1.7e-02"
"Ap2s1",419.78,238.03,0.82," 1.0e-22"
"Myo3b",6.68,3.77,0.82," 2.6e-03"
"Rab27a",65.8,37.2,0.82," 8.1e-15"
"Pi16",22.41,12.68,0.82," 8.7e-08"
"Pik3r5",3.73,2.04,0.82," 4.6e-02"
"Ntng1",44.72,25.09,0.82," 1.5e-08"
"Cox6a2",8.06,4.59,0.82," 1.6e-03"
"Brd9",116.66,66.3,0.82," 4.0e-19"
"Polr2f",90.76,51.79,0.81," 7.0e-16"
"Ctxn1",497.24,283.2,0.81," 8.2e-27"
"Trpm4",12.6,7.17,0.81," 4.3e-05"
"Tbc1d8b",8.28,4.53,0.81," 2.1e-03"
"2310033P09Rik",34.54,19.64,0.81," 2.6e-09"
"Avpr1a",7.51,4.26,0.81," 1.5e-03"
"Morf4l2",571.05,325.44,0.81," 4.3e-27"
"Kcnab1",141.11,80.27,0.81," 2.3e-19"
"Lhfpl5",17.15,9.8,0.81," 9.5e-06"
"Nxnl2",3.13,1.78,0.81," 4.8e-02"
"Txnrd3",28.4,16.26,0.81," 2.1e-08"
"Cyb5rl",15.62,8.93,0.81," 8.6e-06"
"Snrpf",9.12,5.18,0.81," 5.6e-04"
"Fam163a",7.32,4.14,0.8," 2.2e-03"
"Vat1",935.42,533.68,0.8," 1.1e-21"
"Sf3b5",76.39,43.69,0.8," 4.1e-15"
"C2cd4c",88.84,50.93,0.8," 2.9e-16"
"Jakmip2",112.31,64.44,0.8," 5.6e-18"
"Nol3",66.57,38.26,0.8," 2.3e-14"
"Fam216a",65.28,37.54,0.8," 3.5e-14"
"Rpp25",31.22,18.03,0.8," 7.2e-09"
"Celf6",407.43,234.12,0.8," 2.2e-23"
"Polr1d",70.8,40.81,0.8," 1.5e-14"
"Eif2b5",139.77,80.39,0.8," 1.3e-19"
"Wbp11",246.56,141.4,0.8," 3.5e-22"
"Bcl11a",63.11,35.92,0.8," 2.6e-10"
"Gng10",6.2,3.59,0.8," 5.0e-03"
"Tnfrsf12a",5.02,2.85,0.8," 1.4e-02"
"Hspa1a",4.7,2.71,0.79," 1.5e-02"
"Ssbp4",223.27,128.55,0.79," 1.3e-20"
"Akr7a5",61.04,35.26,0.79," 1.3e-12"
"Clba1",45.83,26.44,0.79," 2.1e-11"
"Prokr2",7.48,3.95,0.79," 1.6e-02"
"Cdc42bpb",245.33,143.59,0.79," 2.7e-18"
"Nol12",67.09,38.86,0.79," 5.1e-14"
"Osbpl3",16.68,9.67,0.79," 1.4e-05"
"Sntg2",11.97,6.94,0.79," 1.2e-04"
"Pcsk4",11.07,6.4,0.79," 9.5e-04"
"Magel2",102.39,59.49,0.79," 9.5e-17"
"Rtp1",4.85,2.81,0.79," 1.4e-02"
"Smco4",15.99,9.02,0.79," 6.6e-05"
"Slc6a16",9.14,5.3,0.79," 6.8e-04"
"Grcc10",55.11,31.99,0.79," 1.5e-12"
"Zbtb11os1",16.67,9.66,0.79," 6.9e-06"
"Zfp92",102.08,59.39,0.79," 6.5e-16"
"Txn1",185.26,107.57,0.78," 1.6e-20"
"Cngb1",22.46,13.03,0.78," 4.6e-07"
"Cyb5r1",20.92,12.22,0.78," 1.5e-06"
"Eid2b",105.41,61.39,0.78," 1.1e-16"
"Txndc17",123.64,72.17,0.78," 2.3e-17"
"Scg2",585.53,340.63,0.78," 4.2e-21"
"Shisal2b",4.17,2.43,0.78," 2.6e-02"
"Nol4",272.49,158.93,0.78," 2.1e-22"
"Tceal3",274.62,160.33,0.78," 1.5e-18"
"Bysl",52.08,30.37,0.78," 5.7e-12"
"Map3k15",9.81,5.79,0.78," 5.9e-04"
"Pld3",322.68,188.32,0.78," 5.4e-23"
"Gng3",632.84,370.56,0.78," 7.1e-23"
"Arhgap10",5.45,3.18,0.78," 1.1e-02"
"Pwwp3b",49.74,28.94,0.77," 3.7e-11"
"Eya2",4.92,2.88,0.77," 1.5e-02"
"Bex3",745.26,436.49,0.77," 8.4e-25"
"Rrp7a",123.12,72.33,0.77," 6.9e-16"
"Hcrtr2",14.78,8.61,0.77," 9.1e-05"
"Pstpip1",3.76,2.2,0.77," 3.8e-02"
"Rab11fip1",8.45,4.98,0.77," 2.0e-03"
"Macrod1",34.75,20.39,0.77," 2.7e-09"
"Ldha",413.22,242.63,0.77," 1.3e-23"
"Fxyd7",132,77.81,0.77," 3.4e-14"
"Magee2",59.42,34.52,0.77," 8.1e-11"
"Whrn",104.96,61.69,0.77," 2.1e-16"
"Tubb6",8.37,4.9,0.77," 1.6e-03"
"Zrsr1",240.62,141.35,0.77," 4.1e-21"
"St18",43.1,25.32,0.77," 1.5e-10"
"Fam131a",287.98,169.33,0.77," 4.8e-22"
"Amz1",51.92,30.53,0.77," 1.1e-11"
"Cenpt",26.34,15.52,0.77," 1.0e-07"
"C78197",4.74,2.79,0.77," 1.9e-02"
"D630023F18Rik",18.15,10.68,0.77," 2.0e-05"
"Iscu",172.09,101.75,0.77," 3.6e-16"
"Pwwp2b",17.68,10.4,0.76," 7.7e-06"
"Zfp553",58.95,34.68,0.76," 7.3e-12"
"Slc25a22",460.7,271.44,0.76," 4.2e-23"
"Atg7",48.95,28.91,0.76," 1.4e-10"
"Apex1",21.61,12.77,0.76," 1.0e-06"
"Zdhhc7",50.07,29.55,0.76," 3.3e-10"
"Mpnd",178.41,105.79,0.76," 1.8e-17"
"Sntb1",25.13,14.93,0.76," 6.5e-07"
"Zcchc12",1269.35,746.37,0.76," 1.1e-22"
"Pcdhga12",5.34,3.16,0.76," 1.3e-02"
"Enox1",55.85,33.04,0.76," 8.9e-12"
"Palmd",19.72,11.68,0.75," 3.4e-06"
"Uqcr11",76.3,45.47,0.75," 7.9e-13"
"Srp14",378.11,225.44,0.75," 1.5e-19"
"Ttc9b",95.14,56.66,0.75," 2.7e-14"
"Trmt61a",31.11,18.4,0.75," 6.5e-08"
"Doc2a",49.58,29.41,0.75," 5.2e-11"
"Stac",12.01,7.14,0.75," 2.1e-04"
"Ets2",314.9,186.96,0.75," 1.5e-21"
"Gm15853",3.93,2.32,0.75," 4.0e-02"
"6330403K07Rik",3256.53,1940.18,0.75," 6.5e-24"
"Rab26",66.72,39.69,0.75," 2.9e-12"
