"gene_name","gene_id","Bead","Sup","Enrichment","P"
"Gm9003","ENSMUSG00000084007",0.0402713076384336,0.130044822935314,-2.04211425972586,0.412823576353421
"Gm14827","ENSMUSG00000084904",0.170493442143611,0.508603496474917,-1.67684938512979,0.16808049720068
"Gm24595","ENSMUSG00000084450",0,0,,
"Maged1","ENSMUSG00000025151",1615.54507562967,882.841658866369,0.879566935991927,1.76152189697273e-16
"Gm9005","ENSMUSG00000081796",0,0,,
"Gm14831","ENSMUSG00000080887",0,0,,
"Gm5401","ENSMUSG00000082406",0,0.0467084548408466,-2.95371547234825,
"Gm9009","ENSMUSG00000080974",0,0.0134067766684262,-1.05830792324131,
"Gspt2","ENSMUSG00000071723",65.5633999397754,43.5836270655294,0.589879201132301,1.96577067398807e-06
"Gm5402","ENSMUSG00000083438",0.00983772020927508,0.0196287198335378,-0.393915304804806,
"Zxdb","ENSMUSG00000073062",20.8765197315115,21.6557495035406,-0.0530976169909524,0.801543340708012
"Gm39526","ENSMUSG00000109459",0.0556440000408813,0.157558603474564,-3.0283451173751,0.216244679427262
"Gm7061","ENSMUSG00000082776",0.212945551601011,0.254998456905205,-0.440837702038948,0.799051792306682
"Gm14830","ENSMUSG00000081418",0.0616084808534528,0.0761515345911533,-0.88879602750699,0.768513297180037
"Rpl13-ps5","ENSMUSG00000082964",0.112727495905594,0.231612974993176,-1.2845591919604,0.459081492244657
"Gm26617","ENSMUSG00000097340",4.67221987974603,7.08933364587373,-0.598757945335244,0.0454687126344801
"Zxda","ENSMUSG00000073060",0,0,,
"Gm371","ENSMUSG00000087522",0.0308938008298252,0.023221136585195,-1.06642174053735,
"Spin4","ENSMUSG00000071722",0.564378785523104,1.46616511227318,-1.53212123999063,0.0290275817977449
"Arhgef9","ENSMUSG00000025656",472.615306102152,409.87835926855,0.204598260730146,0.063332538373589
"Gm6092","ENSMUSG00000083789",0,0,,
"Gm14807","ENSMUSG00000080298",0,0,,
"Gm3712","ENSMUSG00000082371",0,0,,
"Gm14806","ENSMUSG00000080283",0,0,,
"Amer1","ENSMUSG00000050332",17.3032972024409,22.8528112266368,-0.39902786670198,0.0221211255039393
"Asb12","ENSMUSG00000031204",0,0.0510010987949013,-2.55750454848062,
"Gm45800","ENSMUSG00000109858",0,0.00981435991676889,-1.01576581800611,
"Gm9043","ENSMUSG00000083556",0.137107042119082,0.298384195199502,-1.19380429348915,0.431678171238663
"Zc4h2","ENSMUSG00000035062",23.3940909703501,25.3616821213978,-0.119359082248405,0.532691152091199
"Zc3h12b","ENSMUSG00000035045",61.4993906943162,50.7513801667996,0.277480193631568,0.0375739983511628
"1700010D01Rik","ENSMUSG00000071721",0,0.0134067766684262,-1.05830792324131,
"Las1l","ENSMUSG00000057421",34.7657641867556,37.2196831969395,-0.0979663805492541,0.563112484604125
"Msn","ENSMUSG00000031207",5.79939351437703,12.3513359705907,-1.10044769307602,5.18664322799956e-06
"Gm24718","ENSMUSG00000088146",0,0,,
"Gm14925","ENSMUSG00000081848",0,0,,
"Gm9051","ENSMUSG00000081742",0.120813922915301,0.0447791556297897,0.825631791940456,0.771499983676872
"F630028O10Rik","ENSMUSG00000078122",0,0.0352309773834774,-1.61168174599871,
"Mir223","ENSMUSG00000076066",0,0,,
"Vsig4","ENSMUSG00000044206",0.0222576000163525,0,1.14043496330806,
"Hsf3","ENSMUSG00000045802",0,0.251241694826714,-5.4284883983696,0.0184625236334579
"Gm14933","ENSMUSG00000082317",0,0,,
"Heph","ENSMUSG00000031209",0.470257887209797,3.26312420056823,-2.63273536978999,6.89944108517165e-07
"Rpl17-ps8","ENSMUSG00000082035",0,0.0450453373002463,-2.42192479802029,
"Gm14935","ENSMUSG00000081182",0,0,,
"Gpr165","ENSMUSG00000031210",279.170868638299,116.915148903776,1.25256930399868,1.1575564583525e-25
"Gm16394","ENSMUSG00000082735",0,0,,
"Gm14803","ENSMUSG00000082397",0,0,,
"Gm9059","ENSMUSG00000081606",0,0,,
"Gm9060","ENSMUSG00000083350",0,0,,
"Pgr15l","ENSMUSG00000031212",17.4132928635097,19.9032880669236,-0.202297503461573,0.326810361578388
"Gm14800","ENSMUSG00000081135",0,0,,
"Eda2r","ENSMUSG00000034457",0.112177722101828,0.475567999972953,-2.140603064777,0.0888106652487942
"Gm9062","ENSMUSG00000081923",0,0,,
"Gm14802","ENSMUSG00000083972",0,0,,
"Ar","ENSMUSG00000046532",196.201222813968,110.298471428786,0.831267084343038,5.20095468344143e-16
"Gm14811","ENSMUSG00000082933",0,0,,
"Gm14815","ENSMUSG00000081397",0,0,,
"Gm14810","ENSMUSG00000083603",0.0697844682662589,0.0778146521317537,-0.542108515138941,0.857689181892196
"Ophn1","ENSMUSG00000031214",43.7227113330861,37.5739764937567,0.219501547385925,0.151372938513198
"Gm27554","ENSMUSG00000099037",0,0.0464422731703901,-2.54431573998627,
"Gm26000","ENSMUSG00000088616",0,0.0294430797503067,-1.65145667894441,
"Yipf6","ENSMUSG00000047694",34.5755513446241,45.1782403094853,-0.38997177115658,0.0280175455273238
"Gm14813","ENSMUSG00000082549",0.0556440000408813,0,1.27921697155928,
"Stard8","ENSMUSG00000031216",1.23552058613923,3.89969564465744,-1.81267272523332,4.85670855085911e-05
"Gm5760","ENSMUSG00000083310",0.0831247748746696,0.0699295914260417,0.193019293722174,0.946360218324232
"Efnb1","ENSMUSG00000031217",23.9856823700949,7.63554616209298,1.64472860565993,8.63355616145107e-21
"Gm14812","ENSMUSG00000073051",0,0.00981435991676889,-1.01576581800611,
"Gm14809","ENSMUSG00000085053",0,0.0134067766684262,-1.05830792324131,
"Gm14808","ENSMUSG00000085553",0,0.0581859322982159,-3.28288708416865,
"Pja1","ENSMUSG00000034403",469.330116409728,281.136586864294,0.741182504494764,4.15033596759294e-13
"Gm14816","ENSMUSG00000082505",0,0.0392574396670755,-1.78075552832537,
"Pcna-ps1","ENSMUSG00000083682",0,0,,
"Tmem28","ENSMUSG00000071719",78.2397939881199,32.4126514730972,1.2819732367976,2.53741728987051e-21
"Eda","ENSMUSG00000059327",5.51809313288912,3.86829449393961,0.510964839866251,0.115550417170128
"Gm14832","ENSMUSG00000082907",0.0196754404185502,0.0706298186284391,-2.07500781073593,
"Gm14829","ENSMUSG00000083936",0.116050961498532,0.0313723789613636,2.09058314353532,0.435253145066939
"Gm14828","ENSMUSG00000080813",0.00983772020927508,0.00981435991676889,-0.148714354987551,
"Mir676","ENSMUSG00000076398",0,0,,
"Awat2","ENSMUSG00000031220",0.145934775123925,0.318012915033039,-1.31387141562021,0.387602528821893
"Otud6a","ENSMUSG00000051582",0,0.00981435991676889,-1.01576581800611,
"Igbp1","ENSMUSG00000031221",23.3057057865025,31.26431753665,-0.429287338343046,0.00861699733328156
"Dgat2l6","ENSMUSG00000067597",0.0205958672198835,0.00981435991676889,0.00463823082254269,
"Awat1","ENSMUSG00000015665",0,0,,
"Gm6175","ENSMUSG00000081886",0,0,,
"P2ry4","ENSMUSG00000044359",0.100159200073586,0.0313723789613636,-0.208771127913801,0.958904032518604
"Arr3","ENSMUSG00000060890",0.182051750771186,0.21986931586535,-0.566733753374474,0.746574255255201
"Pdzd11","ENSMUSG00000015668",23.7195317966734,18.6032821683144,0.351870881012577,0.0480459645791588
"Kif4","ENSMUSG00000034311",0.639370689151408,0.470046284010238,0.463300156722979,0.647342913418791
"Gdpd2","ENSMUSG00000019359",5.20612771691828,3.50311734384663,0.575474621318849,0.0832039059526777
"Gm14866","ENSMUSG00000085314",0,0.023221136585195,-1.82917021357462,
"Gm14902","ENSMUSG00000086736",0,0.0588861595006133,-1.84970907585519,
"Gm22160","ENSMUSG00000089030",0,0,,
"Dlg3","ENSMUSG00000000881",228.907866614146,126.211808860593,0.864270668070642,1.39738187959689e-16
"Tex11","ENSMUSG00000009670",0.169752136148475,0.130044822935314,-0.177907354893372,0.941537670979546
"Gm24577","ENSMUSG00000089205",0,0,,
"Gm27510","ENSMUSG00000088839",0,0,,
"Gm14901","ENSMUSG00000081806",0,0,,
"Gm9078","ENSMUSG00000081943",0,0,,
"Slc7a3","ENSMUSG00000031297",23.084624556182,21.4183500778499,0.101839061423588,0.61165423989579
"Snx12","ENSMUSG00000046032",65.8663563063129,67.5459798766267,-0.0343526669021159,0.830846877285835
"Gm24061","ENSMUSG00000088114",0,0,,
"Gm14842","ENSMUSG00000083781",0,0,,
"Gm22472","ENSMUSG00000077303",0,0,,
"Foxo4","ENSMUSG00000042903",9.91572685390658,13.410891923453,-0.443654548897181,0.0650742421643169
"Gm614","ENSMUSG00000090141",0,0,,
"Gm20489","ENSMUSG00000092463",0,0,,
"Il2rg","ENSMUSG00000031304",0,0.0519639891331043,-2.45100976924879,
"Med12","ENSMUSG00000079487",13.6713568214201,20.0988580700467,-0.558798599832106,0.00192400716981747
"Gm21986","ENSMUSG00000096056",0.0972063874782161,0.220135497535807,-1.44366626919995,0.43309364456873
"Nlgn3","ENSMUSG00000031302",107.725226537865,87.6350432239288,0.29237654876735,0.0400755207462613
"Gjb1","ENSMUSG00000047797",1.31485835395008,6.63350034409184,-2.33113837785889,1.33789169047277e-12
"Zmym3","ENSMUSG00000031310",241.163874185019,177.056265868545,0.449545377696189,6.67257206690103e-05
"Nono","ENSMUSG00000031311",82.9913770010245,56.4716288222128,0.556111109336621,2.68824122276155e-06
"Itgb1bp2","ENSMUSG00000031312",0.0599467480569838,0.0955140727542345,-0.0215950914347272,0.99582954280116
"Gm14843","ENSMUSG00000083897",0,0,,
"Gm6184","ENSMUSG00000081674",0,0.0447791556297897,-2.93456574167864,
"Taf1","ENSMUSG00000031314",106.268516171198,123.736055604937,-0.219086659096702,0.0830315533541845
"Ogt","ENSMUSG00000034160",170.977533093257,201.468210918533,-0.228174557392454,0.130210948643826
"Gm14845","ENSMUSG00000082729",0,0,,
"Gm9089","ENSMUSG00000084197",0,0.0117436591278258,-1.03968441332368,
"Cxcr3","ENSMUSG00000050232",0.021426733618118,0,1.53837843088318,
"Tpt1-ps6","ENSMUSG00000084284",0.0295131606278253,0,1.3520678243745,
"Gm9095","ENSMUSG00000082541",0,0,,
"Gm4779","ENSMUSG00000045010",0.102340001892553,0.088858084057182,0.806786422664054,0.75574968224248
"8030474K03Rik","ENSMUSG00000046774",0.0196754404185502,0.0234873182556516,0.0371325713884661,
"Gm9097","ENSMUSG00000081230",0.0102979336099417,0,0.731309711655758,
"H3f3a-ps1","ENSMUSG00000082284",0,0.0117436591278258,-1.03968441332368,
